Bond Name,Yield Rate,Maturity,Months until Maturity,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
CANADA 25/31,0.03,3/1/2031,61,98.813,98.723,98.888,98.823,98.913,98.85,98.838,99.033,99.043,98.968
CANADA 25/30,0.03,9/1/2030,55,99.165,99.085,99.245,99.17,99.255,99.21,99.185,99.355,99.365,99.315
CANADA 24/30,0.03,3/1/2030,49,99.493,99.423,99.563,99.493,99.58,99.528,99.503,99.658,99.663,99.613
CANADA 24/29,0.04,9/1/2029,43,102.22,102.33,102.37,102.34,102.31,102.35,102.29,102.33,102.43,102.42
CANADA 23/29,0.04,3/1/2029,37,103.63,103.7,103.71,103.74,103.73,103.76,103.72,103.76,103.79,103.78
CANADA 25/28,0.02,2/1/2028,24,99.239,99.234,99.285,99.276,99.302,99.286,99.311,99.36,99.361,99.328
CANADA 25/27,0.03,8/1/2027,18,99.94,99.92,99.97,99.96,99.97,99.97,99.95,100,100,100.01
CANADA 24/27,0.03,2/1/2027,12,100.545,100.56,100.57,100.565,100.565,100.57,100.555,100.58,100.585,100.585
CANADA 23/28,0.03,9/1/2028,31,101.34,101.41,101.4,101.43,101.42,100.45,100.42,100.43,100.48,100.47
CANADA 21/26,0.01,9/1/2026,7,99.145,99.145,99.165,99.16,99.19,99.18,99.19,99.2,99.21,99.22
