CANADA 20/30,CA135087L443,10/5/2020,12/1/2030,0.50%,88.64,88.77,88.845,88.82,88.83,88.9,88.86,88.94,89.05,89.06,88.96
CANADA 21/31,CA135087N266,10/25/2021,12/1/2031,1.50%,91.31,91.48,91.55,91.57,91.54,91.62,91.52,91.6,91.78,91.78,91.67
CANADA 21/31,CA135087M276,4/26/2021,6/1/2031,1.50%,92.27,92.42,92.45,92.46,92.44,92.51,92.47,92.5,92.66,92.92,92.54
CANADA 22/32,CA135087N597,3/16/2022,6/1/2032,2.00%,93.24,93.42,93.49,93.52,93.49,93.58,93.51,93.6,93.74,93.75,93.63
CANADA 22/29,CA135087N670,3/29/2022,12/1/2029,2.25%,97.68,97.73,97.785,97.75,97.75,97.78,97.72,97.79,97.85,97.86,97.8
CDA 18/29,CA135087J397,7/27/2018,6/1/2029,2.25%,98.27,98.38,98.42,98.39,98.37,98.39,98.34,98.4,98.46,98.47,98.4
CANADA 22/32,CA135087P329,8/8/2022,12/1/2032,2.50%,95.528,95.75,95.895,95.91,95.87,95.95,95.89,95.9,96.433,96.09,95.99
CANADA 25/31,CA135087T792,10/2/2025,3/1/2031,2.75%,98.813,98.723,98.888,98.823,98.913,98.85,98.838,99.033,99.043,98.968,98.948
CANADA 25/30,CA135087T388,4/10/2025,9/1/2030,2.75%,99.165,99.085,99.245,99.17,99.255,99.21,99.185,99.355,99.365,99.315,99.28
CANADA 24/30,CA135087S471,10/3/2024,3/1/2030,2.75%,99.493,99.423,99.563,99.493,99.58,99.528,99.503,99.658,99.663,99.613,99.583
CANADA 25/32,CA135087S968,2/26/2025,3/1/2032,3%,99.47,99.36,99.6,99.49,99.595,99.55,99.51,99.725,99.75,99.7,99.64
CANADA 23/34,CA135087R481,12/27/2023,6/1/2034,3.00%,97.75,97.68,98.03,97.9,98.025,97.99,97.9,98.17,98.23,98.25,98.08
CANADA 24/34,CA135087S216,7/12/2024,12/1/2034,3.25%,99.228,99.17,99.54,99.37,99.504,99.5,99.4,99.664,99.744,99.78,99.59
